#OTU ID,L1S8,L1S57,L1S76,L1S105,L1S140,L1S208,L1S257,L1S281
bacteria132,0,0,0,0,0,0,0,0
bacteria133,0,0,0,0,0,0,0,0
bacteria134,0,0,0,0,0,0,0,0
bacteria135,0,0,0,0,0,0.000101399,0,0
bacteria136,0,0,0,0,0,0,0,0
bacteria137,0,0,0,0,0,0,0,0
bacteria138,0,0,0,0,0,0,0,0
bacteria139,0,0,0,0,0,0,0,0
bacteria140,0,0,0,0,0,0,0,0
bacteria141,0,0,0,0,0,0,0,0
bacteria142,0,0,0,0.000110314,0,0.000304198,0.000139567,0.000132485
bacteria143,0,0,0,0,0,0,0,0
bacteria144,0,0,0,0,0,0,0,0
bacteria145,0,0,0,0,0,0,0,0
bacteria146,0,0,0,0,0,0,0,0
bacteria147,0,0,0,0,0,0,0,0
bacteria148,0,0,0,0,0,0,0,0
bacteria149,0,0,0,0,0,0,0,0
bacteria150,0,0,0,0,0,0,0,0
bacteria151,0,0,0,0,0,0,0,0
bacteria152,0,0,0,0,0,0,0,0
bacteria153,0,0,0,0,0,0,0,0
bacteria154,0,0,0,0,0,0,0,0
bacteria155,0,0,0,0,0,0,0,0
bacteria156,0,0,0,0,0,0,0,0
bacteria157,0,0,0,0,0,0,0,0
bacteria158,0,0,0,0,0,0,0,0
bacteria159,0,0,0,0,0,0,0,0
bacteria160,0,0,0,0,0,0,0,0
bacteria161,0,0,0,0,0,0,0,0
bacteria162,0,0,0,0,0,0,0,0
bacteria163,0,0,0,0,0,0.000405597,0.000697837,0.000132485
bacteria164,0,0,0,0,0,0,0,0
bacteria165,0,0,0,0,0,0,0,0
bacteria166,0,0,0,0,0,0,0,0
bacteria167,0,0,0,0.000110314,0,0.000101399,0,0
bacteria168,0,0,0.000113161,0,0,0,0,0
bacteria169,0,0.000102114,0,0,0,0.000101399,0,0
bacteria170,0.000120192,0,0,0,0,0,0,0
bacteria171,0,0,0,0,0,0,0,0
bacteria172,0,0,0,0,0,0,0,0
bacteria173,0,0,0,0,0,0,0.000139567,0
bacteria174,0,0,0,0,0,0,0,0
bacteria175,0,0,0,0,0,0,0,0
bacteria176,0,0,0,0,0,0,0,0
bacteria177,0,0,0,0,0,0,0,0
bacteria178,0,0,0,0,0,0,0,0
bacteria179,0,0,0,0,0,0,0,0
bacteria180,0,0,0,0,0,0,0,0
bacteria181,0,0,0,0,0,0,0,0
bacteria182,0,0,0,0,0,0,0,0
bacteria183,0.000240385,0,0,0,0,0.000101399,0,0.000132485
bacteria184,0,0,0,0,0,0,0,0
bacteria185,0,0,0,0,0,0,0,0
bacteria186,0,0,0,0,0,0,0,0
bacteria187,0,0,0,0,0,0,0,0
bacteria188,0,0,0,0,0,0,0,0.000132485
bacteria189,0.003485577,0.000510569,0.000113161,0.000441258,0,0.001216792,0.000279135,0.000529942
bacteria190,0.000120192,0.000204228,0.000339482,0.000110314,0.000117966,0.000101399,0.000558269,0
bacteria191,0.003004808,0.002859185,0.004300102,0.001875345,0.006016279,0.001318191,0.000697837,0.003444621
bacteria192,0.009014423,0.033595425,0.011542379,0.011252068,0.011206795,0.028189008,0.036566643,0.022919979
bacteria193,0,0,0,0,0,0.000304198,0.000697837,0.000662427
bacteria194,0.002524038,0.000102114,0,0.000110314,0.000117966,0.000405597,0.001116539,0.000794913
